"Address A" "Port A" "Address B" "Port B"

'10.185.33.245' 65257 '172.217.16.161' 443

'10.185.33.245' 49220 '74.125.133.108' 993

'10.185.33.245' 49224 '173.194.151.215' 443

'10.185.33.245' 65262 '172.217.23.163' 443

'10.185.33.245' 65254 '17.42.254.14' 443

'10.185.33.245' 65256 '172.217.22.98' 443

'74.125.133.108' 993 '10.185.33.245' 49221

'10.185.33.245' 49223 '74.125.133.108' 993

'10.185.33.245' 65258 '216.58.207.46' 443

'10.185.33.245' 65261 '209.85.165.199' 443

'10.185.33.245' 57927 '173.194.187.202' 443

'10.185.33.245' 65251 '172.217.18.10' 443

'10.185.33.245' 65259 '172.217.22.14' 443

'10.185.33.245' 65263 '172.217.22.2' 443

'10.185.33.245' 65253 '216.58.206.2' 443

'10.185.33.245' 49225 '64.233.184.188' 5228

'10.185.33.245' 55571 '74.125.11.102' 443

'10.185.33.245' 65255 '172.217.22.110' 443

'10.185.33.245' 49222 '74.125.133.108' 993

'10.185.33.245' 65252 '216.58.207.54' 443

'10.185.33.245' 57012 '172.217.22.46' 443

'10.185.33.245' 65260 '172.217.16.132' 443

'10.185.33.245' 51213 '173.194.151.215' 443
