"Address A","Port A","Address B","Port B"

"10.185.33.245",51213,"173.194.151.215",443

"10.185.33.245",65385,"173.194.187.198",443

"10.185.33.245",57927,"173.194.187.202",443

"10.185.33.245",57012,"172.217.22.46",443

"10.185.33.245",55571,"74.125.11.102",443

"10.185.33.245",57164,"172.217.22.46",443

"10.185.33.245",56935,"172.217.22.46",443

"10.185.33.245",51898,"172.217.22.46",443

"10.185.33.245",49224,"173.194.151.215",443

"10.185.33.245",65255, "172.217.22.110",443

"10.185.33.245",65258, "216.58.207.46",443

"10.185.33.245",49225,"64.233.184.188",5228

"10.185.33.245",65259, "172.217.22.14",443

"10.185.33.245",65261, "209.85.165.199",443

"10.185.33.245",65266, "172.217.18.110",443

